Project Sub-Code,Project Name,Project Type,Responsible Division,KPI Completed,Project Status,Latitude,Longitude,Date Project Awarded,Client Name,Consultant Name,First Party name,Project Description
P5066-R2,DAMAC - Riverside Royal 2,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,on-going,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P4113,Grand Target - Mirdiff,Infrastructure Works,Infrastructure Division,False,upcoming,,,,GRAND TARGET TECHNICAL SERVICES L.L.C,,GRAND TARGET TECHNICAL SERVICES L.L.C,
P4110,Binghatti - Skyrise,"Others, Shoring Works",Enabling Division,True,upcoming,25.18,55.27,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P407,Al Kharafi Al Awir- INFRA,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Mohammed Abdulmohsin Al-Kharafi & Sons,,Mohammed Abdulmohsin Al-Kharafi & Sons,
P324,Emaar - Golf Grand - Dubai Hills,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.12,55.26,,EMAAR,DUBAI CONSULTANTS,EMAAR,
P4110-P,Binghatti - Skyrise,Piling Works,Enabling Division,True,upcoming,25.18,55.27,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P383,Al Qabdah - Al Garhoud,Soil Improvement Works,Soil Improvement Division,True,cancelled,25.240000000000002,55.36,,Mr. H.E Abdulrahman Mohamed Al Owais,National Engineering Bureau,Al Qabdah Global Building Contracting LLC,
P401,West One Umm Al Sheif,Shoring Works,Enabling Division,True,cancelled,25.13,55.2,,Mr. Salaheddin Mohammad Mussa,Pincel Engineering Consultants,West One Construction,
P325,A&M - C47 Abu Dhabi,Shoring Works,Enabling Division,True,cancelled,24.48,54.370000000000005,,Mr. Mubarak Sultan Rashed Alkhyeli,Architectural Engineering Consultants,A&M INTERNATIONAL GEN. CONTRACTING L.L.C,
P326,Obaidulla - Al Khawaneej,Shoring Works,Enabling Division,True,cancelled,25.240000000000002,55.5,,Mr. Abul Rahman Mohammed Hussain Al Shebani,ICONIC Architectural & Engineering Consultants,Obaidulla Contracting Est.,
P5066-I2,DAMAC - Riverside Indigo 2,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,upcoming,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P384,SHARJAH MUNICIPALITY - GRP,Infrastructure Works,Infrastructure Division,True,upcoming,,,,SHARJAH MUNICIPALITY DRAINAGE DEPARTMENT,,,
P327,Sobha Mosque,"Shoring Works, Piling Works",Enabling Division,True,cancelled,25.18,55.31,,Sobha Capital L.L.C,PNC Architects,Sobha Constructions L.L.C,
P347,Splash - Ajman,Soil Improvement Works,Soil Improvement Division,True,cancelled,25.71,55.870000000000005,,Mr.H.H Rashed Al Nuaimi Safiya Palace,Eng. Adnan Saffarini,Splash Building Contracting,
P376,ECC Fit Out - Al Barari,Shoring Works,Enabling Division,True,cancelled,25.1,55.31,,Mohammed Zaal & M1 Dynamics general Trading LLC,Emkan,ECC Fit-Out & Construction,
P4103,GUNAL- HESSA,Infrastructure Works,Infrastructure Division,False,upcoming,,,,RTA,Khatib & Alami,Gunal Construction,
P4106,INNOVO - Jabel Ali,Infrastructure Works,Infrastructure Division,False,upcoming,25.03,55.120000000000005,,Jabel Ali Village LLC,Parsons,Innovo Build UAE,
P377,ECC - Al Wasl,Shoring Works,Enabling Division,True,cancelled,25.200000000000003,55.26,,MERAAS Estates,Orient Crown Architectural,ECC Fit-Out & Construction,
P379,Nova Way - Jabal Ali First,Shoring Works,Enabling Division,True,cancelled,26.03,56.13,,Mrs. Dorthe Schmidt Schiess,M/s Eng.Adnan Saffarini Office L.L.C. -Architects & Engineering Consultant,Nova Way Contracting,
P381,Binghatti - JVC - Azure,Piling Works,Enabling Division,True,cancelled,25.07,55.21,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P382,Jeikor - Dubai Hills,Shoring Works,Enabling Division,True,cancelled,25.13,55.27,,Mr. Amit Madhav,Model Engineering Consultants,Jeikor Contracting,
P406,National Piling,Others,Enabling Division,True,cancelled,25.27,55.27,,NATIONAL PILING & LAND DRAINING WORK,,NATIONAL PILING & LAND DRAINING WORK,
P4101,ANK - Jumeirah 1st,Shoring Works,Enabling Division,True,cancelled,25.22,55.26,,Mr. Rasha Osman Ahmad Nashaat,ANK Architectural Consultants,ANK Architectural Consultants,
P436,Al Fattan-Al Sadr Port,Shoring Works,Enabling Division,True,cancelled,,,,Command of Military Works - Abu Dhabi,ADEC Engineering Consultancy,Al Fattan Contracting and Properties Management,
P448,Al Masoaood National,Shoring Works,Enabling Division,True,cancelled,,,,Mr. Shamal Estate LLC,Future Art Engineering Consultancy.,Al Masaood National General Contracting LLC,
P429,QRS- Infrastructure,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Q R S CONTRACTING L.L.C,,Q R S CONTRACTING L.L.C,
P425,Al Safa- Sewerage Connection,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Al Furjan LLC,Al Turath,Al Safa Road Contracting LLC,
P423,Prime Civil Construction,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Continental Investments,Ace Interntional Consulting,Prime Civil Construction,
P5066-R1,DAMAC - Riverside Royal 1,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,upcoming,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P432,No Project Reference,Others,Enabling Division,True,cancelled,,,,No Project Reference,No Project Reference,No Project Reference,
P435,Buildtech- Dubai Islands,Soil Improvement Works,Soil Improvement Division,True,cancelled,25.29,55.29,,Mr. Ajay Gokani,Model Engineering Consultants,Buildtech Construction LLC,
P437,Wadeadams-Infrasructure,Infrastructure Works,Infrastructure Division,True,upcoming,,,,RTA,Parsons,Wade Adams Contracting,
P434,Techno Smart- Insfrastructure,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Abu Dhabi Sustainable Water Solutions,Tangram Architects and Designers,Techno Smart Contracting,
P464,G & B- Deyaar Insfrastructure,Infrastructure Works,Infrastructure Division,True,upcoming,,,,DEYAAR,,G & B Contracting LLC.,
P469,Al Safa Road Contracting - Pearl Jumeirah,Infrastructure Works,Infrastructure Division,True,upcoming,,,,Dubai Holding Real Estate,Road & Traffic Engineering,Al Safa Road Contracting LLC,
P471,ECC - MBR CITY - DISTRICT - 01,Shoring Works,Enabling Division,True,cancelled,25.17,55.28,,Mr. Shayan Khoshsepehr,Planquadrant Middle East Architects and Engineering,ECC Fit Out Construction LLC,
P477,SEDE - TRANSCO,Infrastructure Works,Infrastructure Division,True,cancelled,,,,Transco,Stantec,SOCIETE EGYPTIENNE D'ENTREPRISES,
P5066-R3,DAMAC - Riverside Royal 3,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,upcoming,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P489,Al Ajmi - Al Thamara - Al Barsha South Third,"Enabling Works, Shoring Works, Piling Works",Enabling Division,True,cancelled,25.07,55.25,,Al Thamara Investment,Al Ajmi Engineering Consultants,Al Ajmi Engineering Consultants,
P5006,GOC - Palm Jabel Ali,Infrastructure Works,Infrastructure Division,False,cancelled,,,1/6/2025,,,,
P474,ALPS - Infra,Infrastructure Works,Infrastructure Division,True,upcoming,,,,ALPS MIDDLE EAST TECHNICAL WORKS L.L.C,,ALPS MIDDLE EAST TECHNICAL WORKS L.L.C,
P5066-R4,DAMAC - Riverside Royal 4,"Enabling Works,Piling Works,Others,Shoring Works",Enabling Division,True,upcoming,24.98,55.230000000000004,,Damac MRY Investment,Gulf Engineering & Consultants,Island Oasis Properties LLC,
P496,GOC - DEWA - Shoring,Infrastructure Works,Infrastructure Division,False,cancelled,,,,DEWA,DEWA,Green Oasis Contracting L.L.C,
P497,GUNAL - Metro Blue Line - Shoring,Infrastructure Works,Infrastructure Division,False,upcoming,25.13,55.31,,RTA,Parsons & Atkins,Gunal Construction,
P5010,Kharafi - Pulse Beach Front,Infrastructure Works,Infrastructure Division,False,upcoming,,,2/5/2025,Dubai South,Khatib & Alami,Mohammed Abdulmohsin Al-Kharafi & Sons,
P5014,Palace - A18,Shoring Works,Enabling Division,True,cancelled,25.23,55.25,2/4/2025,MERAAS Estates,Al Manhal Engineering Consultants (AMEC),Palace Group LLC,
P5015,Palace - LV54,Shoring Works,Enabling Division,True,cancelled,25.22,55.230000000000004,2/10/2025,Jumeirah Bay LLC,Etereo Architecure & Design & Motion,Palace Group LLC,
P5018,GOC - Pipe Jacking,Infrastructure Works,Infrastructure Division,False,cancelled,,,2/8/2025,DEWA,,Green Oasis General Contracting,
P5034,DAMAC - ELO 2 & 3,Enabling Works,Enabling Division,True,cancelled,,,,Front Line Investment Management,Eng. Adnan Saffarini Office,DAMAC Properties Co. LLC,
P5069,Projection - Wadi Al Safa 3,Shoring Works,Enabling Division,True,upcoming,25.1,55.300000000000004,8/19/2025,Mr. Gilles Morihain and Ms. Eloise Koum,Emkaan Architecture Engineering,Projection Building Contracting LLC,
P5033,Magnetic Electromechanical - ABU DHABI,Infrastructure Works,Infrastructure Division,False,upcoming,,,4/29/2025,PAL Cooling,Man Architectural�Consultant,Magnetic Electromechanical Contracting,
P5048,Awqaf - Sharjah Govt - Infra,Infrastructure Works,Infrastructure Division,False,upcoming,,,7/5/2025,Government of Sharjah � Department of Islamic Affairs,,,
P5062,INNOVO - Tie in connection at cluster 5 & 6 Saadiyat Lagoons,Infrastructure Works,Infrastructure Division,False,upcoming,24.53,54.45,7/21/2025,Aldar,Parsons,Innovo Build UAE,
P5078,CAT - DPE - MARGHAM,Shoring Works,Infrastructure Division,False,upcoming,25.1,55.15,,Dubai Petroleum,Kent International Arabia LTD,C.A.T. Group,
P5089,Target - Mina Zayed Water Frond Plaza,Marine Works,Marine Division,False,upcoming,-,-,,MODON REAL STATE,Al Suweidi Engineering Consultants LLC.,Target Engineering and Construction Company,
P302,Azizi - Reviera - CP 12 & 15,Shoring Works,Enabling Division,True,upcoming,25.17,55.32,,Meydan,360 Degree Architectural Design Consultancy,Azizi Developments,
P306,A&M - Plaza B15 - Masdar City,Piling Works,Enabling Division,True,upcoming,24.43,54.620000000000005,,Masdar - A Mubadala Company,Al Reem Engineering Consultancy LLC,A&M INTERNATIONAL GEN. CONTRACTING L.L.C,
P258,Accord-Dubai Hills,Shoring Works,Enabling Division,True,upcoming,,,,,,,
P215,Al Anwar - Al Mamzar,Shoring Works,Enabling Division,True,contract-completed,,,,,,,
P248,Rumaysa - Dubai Hills,Shoring Works,Enabling Division,True,contract-completed,,,,,,,
P230,Alfa - Al Wasl,Shoring Works,Enabling Division,True,contract-completed,,,,,,,
P304,SOBHA - Crest Vista,"Shoring Works, Piling Works",Enabling Division,True,contract-completed,25.18,55.300000000000004,,PNC Investments,PNC Architects,Sobha Constructions L.L.C,
P308,Granada Europe - Royale - Business Bay,Shoring Works,Enabling Division,True,contract-completed,25.19,55.28,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P21-20,ALPAGO Palm Jumeirah,"Enabling Works, Shoring Works, Piling Works, Soil Improvement Works, Marine Works, Testing Works, Others",Enabling Division,True,contract-completed,25.11,55.14,,,,,
P309,SOBHA - CM Villa,Piling Works,Enabling Division,True,contract-completed,25.17,55.33,,PNC Investments Ltd.,PNC Architects,Sobha Constructions L.L.C,
P312,ECC-Barsha South First,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.07,55.22,,AURORA Real Estate,Al Wasl Al Jadeed Consultants,Engineering Contracting Co. LLC,
P313,Al Saari - Jumeirah First,Shoring Works,Enabling Division,True,contract-completed,25.23,55.25,,La Mer Estate,MAPLE Engineering Consultant,Alsaari Building Contracting,
P316,Buhaleeba - Maritime,Shoring Works,Enabling Division,True,upcoming,25.27,55.27,,Vakson Freehold Properties,Khatib & Alami,Buhaleeba Contracting,
P318,ACE Piling - Fujairah,Piling Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Naif Ahmed A Alsedais,N A Q S H Architectural & Engineering Consultancy,A C E PILING AND FOUNDATIONS LLC,
P319,Nama - Jumeirah First,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Naif Ahmed A Alsedais,Naqsh Architectural Engineering Consultancy,Nama for Building Contracting Co.,
P320,Granada - Binghatti Orchid - Al Barsha South Fourth,Shoring Works,Enabling Division,True,contract-completed,25.060000000000002,55.2,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P321,ECC - Jumeirah First,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Rechard Theodore Hadjmegrian,Emkaan Architecture Engineering,ECC Fit Out Construction LLC,
P322,Granada Europe - Binghatti Onyx - Al Barsha South Fourth,Piling Works,Enabling Division,True,contract-completed,25.060000000000002,55.2,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P330,Granada Europe- Binghatti Gardenia-Al Barsha South Fourth,Piling Works,Enabling Division,True,contract-completed,25.060000000000002,55.21,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P331,Granada Europe-Binghatti Venus-JVC,"Shoring Works, Piling Works",Enabling Division,True,contract-completed,25.05,55.21,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P332,Block and Block - Wadi Al Safa 3,Shoring Works,Enabling Division,True,contract-completed,25.1,55.300000000000004,,Premier Invest Holdings Limited,Image Engineering Consultant,Block on Block Building Contracting LLC,
P333,Granada Europe- Binghatti Amber,Piling Works,Enabling Division,True,contract-completed,25.060000000000002,55.21,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P334,Palace - Al Safouh,"Shoring Works, Soil Improvement Works",Enabling Division,True,upcoming,25.13,55.19,,Mr.Sheikh Rashed Al Nuaimi,Rafik El-Khoury & Partners - Eng. Adnan Saffarini - Chakib Richani,Palace Group LLC,
P323,ZAS - Jumeirah Second,Shoring Works,Enabling Division,True,upcoming,25.19,55.24,,Mr. Mohammad Zuhair Abduljalil Yousuf Darwish,bmastudio,ZAS Group of Companies,
P317,Surti - Jebal Ali,Shoring Works,Enabling Division,True,contract-completed,24.990000000000002,55.14,,Mr. Mohammed Abdalla Mahmoud Hassan Al Ali,Al Anwar Architectural Engineering Consultants,Al Anwar Architectural Engineering Consultants,
P329,Corinthia - Palm Jumeirah,Shoring Works,Enabling Division,True,contract-completed,25.12,55.13,,CORINTHIA REAL ESTATE DEVELOPMENT L.L.C,Al Manhal Engineering Consultants,CORINTHIA REAL ESTATE DEVELOPMENT L.L.C,
P335,NCC - Pits,Shoring Works,Enabling Division,True,upcoming,25.21,55.480000000000004,,Dubai Municipality,Stantec,Nael Construction & Contracting,
P338,Jeikor - Jumeirah 1st,Shoring Works,Enabling Division,True,upcoming,25.240000000000002,55.26,,Mr.Saadi Waheeb Saihood Saihood,CONSULTANT H S S,Jeikor Contracting L.L.C,
P339,Basmah-Al Jaddaf,"Shoring Works, Soil Improvement Works",Enabling Division,True,upcoming,25.23,55.34,,KASCO Properties DMCC,Basmah Engineering Consultants,Basmah Engineering Consultants,
P340,Urban Habitat - Umm Al Shief,Shoring Works,Enabling Division,True,upcoming,25.13,55.2,,Mr. Khalifa Ali Obaid Binghunaim Alketbi,URBANHABITAT Architectural Consultants,URBANHABITAT Architectural Consultants,
P342,Emaar Seapoint,"Enabling Works, Shoring Works, Piling Works, Soil Improvement Works",Enabling Division,True,upcoming,25.1,55.14,,EMAAR,MIRAGE,EMAAR,
P343,Infinia - Jumeirah 1st,Shoring Works,Enabling Division,True,upcoming,25.25,55.26,,Mr. Mohammad Anis Pardesi,Renaissance Engineering Consultants,Infinia Contracting,
P344,Tiger - Oud Al Muteena 3rd,Shoring Works,Enabling Division,True,upcoming,25.27,55.45,,Mohammed Bin Rashid Housing Est.,Shadid Engineering Consultants,Tiger Group,
P345,Sobha Hartland II - PTP Test,Testing Works,Enabling Division,True,contract-completed,25.17,55.32,,Sobha Capital,PNC Architects,Sobha Constructions L.L.C,
P346,Volare - Palm Jumeirah,Shoring Works,Enabling Division,True,upcoming,25.11,55.13,,"Mr. Ashraf Nadjafi, Azam Najafi & Mahnaz Abbas Najafi",Orient Crown Engineering Consultants,Volare Building Contracting,
P348,DETech - Diaphragm Wall,Shoring Works,Enabling Division,True,upcoming,25.200000000000003,55.29,,Dubai Municipality,ITAL,DETech Contracting,
P351,Sky Lark - ARJ Villa - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.13,55.27,,Mr. Mahmoud Araji,DAT Partners,SKYLARK CONTRACTING L.L.C.,
P352,Damac - Golf Greens,Shoring Works,Enabling Division,True,upcoming,25.01,55.25,,DAMAC Development LLC,K&P GmbH,DAMAC Properties Co. LLC,
P353,Best Dynamic - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.13,55.26,,EMAAR Dubai South DWC LLC,ZN era Space,Best Dynamic Contracting,
P354,PMK - Dubai Hills,Shoring Works,Enabling Division,True,upcoming,25.13,55.27,,Dubai Hills Estate,Crown Engineering Consultants,PMK Group,
P355,Damac Maritime City,"Enabling Works, Piling Works",Enabling Division,True,upcoming,25.27,55.27,,DAMAC Development LLC,LACASA - Architects & Engineering Consultants,DAMAC Properties Co. LLC,
P357,Luxury - Shoring - Umm Al Sheif,Shoring Works,Enabling Division,True,upcoming,25.13,55.2,,O M Residence Umm Al Sheif,+971 Architects,Luxury Project Builders,
P358,Granada Europe - Lavender,Shoring Works,Enabling Division,True,upcoming,25.060000000000002,55.2,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P356,Al Maeraj - Al Mammzar,Shoring Works,Enabling Division,True,upcoming,25.3,55.35,,Al Maeraj Contracting,Al Anwar Architectural Engineering Consultants,Al Maeraj Contracting,
P359-A,Sobha A07,Shoring Works,Enabling Division,True,upcoming,25.17,55.33,,Sobha Capital L.L.C,PNC Architects,Sobha Constructions L.L.C,
P360,Prime Metal - Shj,Testing Works,Enabling Division,True,upcoming,25.17,55.33,,AL FUTTAIM REAL ESTATE COMPANY,DEYAR ENGINEERING CONSULTANTS,PRIME METAL INDUSTRIES LLC,
P359,Sobha A07,Piling Works,Enabling Division,True,upcoming,25.17,55.33,,Sobha Capital L.L.C,PNC Architects,Sobha Constructions L.L.C,
P361,Takmeel- Nad Al Shiba,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.16,55.32,,"Mr.Muhammad Bin Asad Mian Asad Bashir, Hamza Asad Mian Asad Bashir",EMSQUARE Engineering Consultants,Takmeel Real Estate Development,
P362,PSE - World Island - Marine Piles,Marine Works,Marine Division,True,contract-completed,25.23,55.160000000000004,,PSE BUILDING CONTRACTING LLC,,PSE BUILDING CONTRACTING LLC,
P363,Damac Golf Gate,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.02,55.24,,DAMAC CRESCENT PROPERTIES LLC,ENGINEERING CONSORTIUM CONSULTING ENGINEERS,DAMAC Properties Co. LLC,
P364,Alfa- Souq Al Kabeer,Shoring Works,Enabling Division,True,upcoming,25.26,55.29,,Mr. Mubarak Khalifa Hamad Saeed Bin Shafya,POE Architects & Engineers,Alfa Contracting LLC,
P365,High Beam -Umm Al Sheif,Shoring Works,Enabling Division,True,contract-completed,25.14,55.21,,Mr. Saleh Mohammad Ramadhan Alrafi,SIGNATURE Engineering Consultant,High Beam Contracting LLC,
P366,Al Andalos,Shoring Works,Enabling Division,True,upcoming,25.17,55.400000000000006,,Mr. Hussein Ahmad Al Saad,Archline Engineering Consultants,AL ANDALOS CONTRACTING CO. L.L.C,
P367,AL Shandagha-Al Barsha South,Shoring Works,Enabling Division,True,upcoming,25.04,55.18,,Mr. Misbah Munshi,M/s Al Shandagha Architects & Engineering Consultants,Al Shandagha Architects & Engineering Consultants,
P368,ECO - Wadi Al Safa,Shoring Works,Enabling Division,True,upcoming,25.09,55.31,,,,,
P369,Binghatti - Bugatti - Business Bay,Piling Works,Enabling Division,True,contract-completed,25.19,55.27,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P370,Citi Al Bada,Shoring Works,Enabling Division,True,upcoming,25.23,55.27,,,,,
P371,Moonlink-Al Jaddaf,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.22,55.33,,Mr. Isa Abdulla Haider Obiaid Bin Haider,Al Asri Engineering Consultants,Moon Link Building Contracting L.L.C,
P372,Sharjah Lake Mosque,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.32,55.36,,Sharjah Government - Department Of Islamic Affairs,Khatib & Alami - QUAD Design,United Engineering Construction (UNEC),
P373,Marinas Performance - World Islands,Marine Works,Marine Division,True,contract-completed,,,,Marinas Performance,,Marinas Performance,
P374,Better Gardens,Shoring Works,Enabling Division,True,upcoming,25.240000000000002,55.26,,Mr. Sultanov Temirlanbek,Orient Crown Architectural,BG Group,
P375,Basic Touch-Al Barsha South First,Shoring Works,Enabling Division,True,upcoming,25.09,55.230000000000004,,Mr. Mohamed Ahmad Abdulla Sayd Ibrahim Al Hashemi,Mujassam Architecture & Design,Basic Touch Building Contracting,
P378,DWEX - Al Barari,Others,Enabling Division,True,upcoming,,,,Dwex Technical Services LLC,,,
P380,Nova Way Jumeirah First,Shoring Works,Enabling Division,True,upcoming,25.23,55.25,,Mr. Qadir Ahmad Ibrahim / M/S La Mer Estates LLC,Chawla Architectural & Consulting Engineers,NOVA WAY CONTRACTING LLC,
P385,UNEC - KHORFAKKAN,Soil Improvement Works,Soil Improvement Division,True,upcoming,25.35,56.36,,United Engineering Construction,Khatib & Alami,United Engineering Construction,
P386,Edge Plus,Shoring Works,Enabling Division,True,upcoming,25.240000000000002,55.26,,Mr. Jamal Jalal Mahmoud,NEB,Edge Plus Contracting,
P403,Binghatti Mercedes,"Shoring Works, Piling Works",Enabling Division,True,contract-completed,25.19,55.28,,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P404,Union Coop - Al Khawaneej,Shoring Works,Enabling Division,True,cancelled,25.23,55.54,,Union Coop,Future Art Engineering Consultancy,Union Coop,
P405,Future Art- Al Nahda,Shoring Works,Enabling Division,True,upcoming,25.29,55.370000000000005,,Mr. Ghaith Saeed Khalaf Al Ghaith,Future Art Engineering Consultancy.,Future Art Engineering Consultancy.,
P408,Al Khawaja- Al Furjan,Others,Enabling Division,True,upcoming,25.02,55.14,,Al Kharazz Meadows Limited,Al Khwajah Engineering Consultancy,Al Khwajah Engineering Consultancy,
P409,Sobha A05,"Shoring Works, Piling Works",Enabling Division,True,upcoming,25.17,55.32,,Sobha Capital L.L.C,PNC Architects,Sobha Constructions L.L.C,
P410,Global Dewatering- Sobha Hartland,Others,Enabling Division,True,contract-completed,25.18,55.31,,GLOBAL DEWATERING & PILING LLC,,GLOBAL DEWATERING & PILING LLC,
P4102,One - Wadi Al Safa 4th,Enabling Works,Enabling Division,True,contract-completed,25.09,55.32,,One Development,AE7,One Development,
P4104-909,High Beam - 909,Shoring Works,Enabling Division,True,contract-completed,25.19,55.26,,Mr. AIDYN RAKHIMBAYEV FERAS MOHAMMAD AL MSADDI,Onix Engineering Consultancy,High Beam Contracting LLC,
P4105,Jedan - Umm Al Sheif,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.13,55.2,,Mr. Bader Ahmad Mohammed Bin Abdulaziz Alshehhi,Nisreen Kayyali Consulting Engineers,Jedan Contracting,
P4104-606 & 707,High Beam - 606 & 707,Shoring Works,Enabling Division,True,upcoming,25.200000000000003,55.26,,Mr. AIDYN RAKHIMBAYEV FERAS MOHAMMAD AL MSADDI,Onix Engineering Consultancy,High Beam Contracting LLC,
P4107,Delta - Deira Island,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.29,55.29,,Mr. Jamshid Shakirov,NEB,Delta Foundation Co. LLC,
P4108,CPC - EDGE - RAK,Soil Improvement Works,Soil Improvement Division,True,contract-completed,25.72,55.84,,RAK Properties,XYZ DESIGNERS,CPC Construction Piling Company,
P4109,Orient Crown (ISTO) - Pearl Jumeirah,"Enabling Works, Shoring Works",Enabling Division,True,upcoming,25.240000000000002,55.25,,Mr.Diaa Nasser & Meryen Al Zubaydy,Orient Crown Architectural Consultant,ISTO,
